Time Period	Community	# positive test in a given week	# positive tests cumulative	# test in a given week (Wednesdays thru Tuesday)	# tests administered cumulative	% Of Positive Tests Cumulative	Weekly Positivity rate
12/2-12/8/20	El Paso County	4787	31782	32995	319499	0.099474490	0.145082588
12/23-12/29/20	El Paso County	1440	39429	18487	396969	0.099325136	0.077892573
12/30/20-1/5/21	El Paso County	2444	41873	27521	424490	0.098643078	0.088804913
12/9-12/15/20	El Paso County	3266	35048	29856	349355	0.100322022	0.109391747
8/12-8/18/20	El Paso County	229	4207	5942	70951	0.059294443	0.038539212
8/19-8/25/20	El Paso County	182	4389	5231	76182	0.057612034	0.034792583
8/26-9/1/20	El Paso County	202	4591	4837	81019	0.056665720	0.041761422
8/5-8/11/20	El Paso County	314	3978	5553	65009	0.061191527	0.056546011
9/16-9/22/20	El Paso County	196	5068	7269	99465	0.050952596	0.026963819
9/2-9/8/20	El Paso County	124	4715	4887	85906	0.054885573	0.025373440
9/23-9/29/20	El Paso County	187	5255	7989	107454	0.048904648	0.023407185
9/30-10/6/20	El Paso County	314	5569	9214	116668	0.047733740	0.034078576
9/9-9/15/20	El Paso County	157	4872	6290	92196	0.052843941	0.024960254
